X-axis well locations,Y-axis well locations,Layer of perforations,Injection/Production rates,Result
4,47,4,5000,0.843652528
35,49,7,10000,0.868764388
19,48,6,20000,0.83431491
14,36,4,5000,0.849281414
26,34,8,30000,0.818261047
32,35,7,20000,0.854296578
48,3,2,10000,0.788497681
11,12,1,20000,0.687558606
14,43,1,10000,0.691242235
19,42,7,10000,0.859040696
47,7,6,5000,0.874963912
5,33,6,30000,0.78804342
20,48,7,20000,0.842372569
16,10,3,10000,0.81148979
47,19,2,20000,0.761356679
23,44,4,30000,0.772449069
47,49,4,10000,0.838431718
39,30,1,5000,0.700543943
24,16,3,30000,0.765270117
9,3,1,10000,0.702666552
42,40,8,5000,0.898831749
27,24,1,30000,0.697248364
42,47,5,10000,0.840572252
21,12,1,30000,0.683072263
31,31,3,20000,0.803946315
23,47,8,10000,0.887496137
35,19,7,30000,0.80598432
44,37,6,30000,0.786274384
42,44,4,5000,0.843670655
13,18,1,5000,0.709283531
7,12,6,10000,0.854183378
40,24,8,20000,0.859858507
24,12,8,10000,0.891652338
21,8,8,5000,0.900740635
48,40,5,20000,0.816242333
5,21,7,5000,0.889506811
35,19,3,10000,0.816112775
45,24,7,5000,0.891810162
3,50,7,30000,0.782061496
16,49,5,10000,0.852173156
34,31,8,10000,0.886390878
10,4,7,20000,0.831917513
13,25,4,5000,0.857758008
23,30,8,10000,0.910026119
26,18,2,30000,0.742598301
37,23,3,5000,0.831932551
18,1,1,20000,0.700780213
41,3,1,30000,0.67095637
20,23,7,20000,0.860700996
47,50,5,5000,0.868643531
20,32,1,20000,0.712911603
28,7,5,5000,0.869078294
46,3,3,10000,0.812677882
15,18,2,10000,0.783515023
48,23,5,20000,0.825300873
33,46,7,5000,0.888575176
12,48,1,20000,0.696608823
45,7,7,5000,0.884529176
6,30,8,5000,0.899205835
40,34,6,10000,0.851393572
23,17,8,30000,0.817910953
5,15,4,30000,0.76517242
15,16,8,5000,0.905886389
6,37,5,10000,0.842271272
44,31,4,20000,0.810978731
20,6,7,20000,0.845987453
23,10,7,5000,0.891938239
1,14,4,30000,0.762672188
31,6,3,20000,0.791144597
1,34,8,10000,0.895141538
43,39,6,30000,0.785228275
11,34,8,20000,0.856529044
23,19,1,5000,0.715293786
29,35,8,30000,0.817121356
32,5,4,30000,0.76918297
46,39,2,30000,0.723996088
16,19,5,30000,0.790320601
22,15,2,10000,0.786205509
8,16,8,10000,0.878920162
39,20,8,10000,0.890399195
44,29,3,5000,0.829700165
33,36,4,10000,0.83209319
14,16,3,30000,0.756330587
25,21,4,5000,0.853744151
19,16,4,10000,0.836666574
13,35,7,30000,0.802672806
3,50,4,20000,0.792597976
41,42,4,30000,0.763290115
11,41,1,5000,0.689492385
31,17,1,10000,0.708953845
7,47,2,30000,0.721264585
30,6,3,30000,0.75418675
15,38,5,5000,0.865671139
27,42,8,10000,0.889825957
28,41,3,5000,0.830582652
19,33,5,20000,0.835230763
3,21,8,5000,0.911143638
36,27,1,10000,0.709314349
38,38,2,30000,0.728317122
43,49,4,20000,0.801122169
33,21,1,5000,0.709161742
45,23,5,20000,0.826228969
2,50,4,30000,0.750284114
24,40,4,5000,0.851678035
18,21,4,30000,0.781607713
18,16,5,20000,0.832200552
15,32,6,20000,0.843784057
41,3,8,10000,0.873878394
2,16,3,20000,0.789020711
34,37,3,30000,0.756826136
5,24,1,20000,0.700021967
32,9,6,30000,0.791630295
4,46,4,10000,0.827601133
6,5,7,5000,0.883574519
43,9,2,30000,0.722742438
3,15,5,30000,0.776684204
46,15,6,5000,0.879355258
45,6,5,20000,0.801494472
21,46,6,10000,0.855488955
48,37,5,10000,0.843716304
29,40,5,30000,0.784432757
19,15,2,10000,0.784101546
3,8,4,5000,0.847833434
5,23,7,5000,0.889445863
43,37,2,5000,0.778444403
12,45,5,30000,0.775733313
20,24,7,30000,0.814647432
21,19,2,5000,0.789891454
40,8,8,30000,0.800172561
2,32,1,20000,0.702564109
17,50,6,20000,0.826720767
42,29,4,5000,0.852290085
16,1,3,30000,0.748792041
48,24,5,30000,0.78216732
18,6,8,20000,0.854364734
43,17,5,20000,0.823923753
1,6,1,20000,0.696203323
27,14,1,5000,0.711312173
5,17,3,30000,0.753775184
10,10,8,5000,0.899349364
50,20,7,5000,0.891155355
34,16,8,10000,0.891053933
33,38,7,30000,0.803011483
10,22,4,20000,0.813912651
15,32,3,10000,0.814509526
32,36,5,30000,0.789588562
38,18,5,30000,0.783906537
11,31,8,10000,0.882596286
49,31,8,5000,0.910470849
33,47,1,30000,0.676723439
30,25,2,30000,0.745000211
28,33,2,20000,0.773992504
50,6,8,10000,0.88910206
47,42,1,10000,0.696510305
39,50,3,10000,0.820025202
49,50,3,20000,0.776112024
24,20,4,10000,0.840470373
29,37,8,30000,0.812542847
45,10,2,30000,0.723102046
6,21,5,20000,0.825055646
48,36,3,10000,0.815730368
47,25,5,30000,0.781566631
50,3,7,5000,0.889707558
11,50,1,30000,0.675648136
16,36,7,5000,0.887091826
34,39,4,10000,0.831006821
7,35,8,20000,0.853360148
33,40,1,5000,0.69687496
17,15,7,30000,0.804021879
12,1,8,20000,0.842743202
25,4,6,20000,0.831560624
19,25,3,10000,0.82439551
50,40,3,5000,0.830599353
49,32,3,30000,0.7531599
18,35,4,20000,0.818077643
3,30,8,30000,0.804101219
31,12,4,5000,0.850884758
33,30,1,30000,0.690398904
7,40,8,30000,0.80044431
28,11,3,10000,0.813481323
15,12,2,5000,0.781770433
6,38,6,30000,0.786376985
39,33,3,10000,0.811359902
33,20,4,20000,0.821534889
35,40,6,30000,0.790298095
16,4,5,30000,0.776987047
8,12,7,30000,0.79319769
3,6,2,30000,0.722267969
8,16,1,20000,0.692080006
16,32,3,20000,0.799271366
6,31,5,5000,0.869013779
16,26,6,5000,0.883048087
5,46,8,20000,0.839107274
15,22,7,10000,0.868244555
8,21,1,30000,0.678268532
18,18,4,20000,0.82005403
17,37,8,20000,0.859305449
44,26,4,5000,0.854408883
4,9,7,10000,0.860946671
27,50,1,5000,0.721956876
12,18,5,10000,0.842922394
18,45,5,5000,0.868701105
24,4,2,30000,0.73213346
2,45,3,5000,0.829588006
14,3,7,20000,0.838137045
5,4,5,30000,0.769836068
43,11,1,30000,0.667989705
10,32,8,10000,0.881700516
27,40,2,30000,0.736167031
13,36,4,30000,0.771205277
8,17,6,10000,0.851246676
10,9,6,20000,0.817538052
40,10,7,30000,0.792656662
43,48,6,20000,0.825796581
45,42,2,10000,0.768150069
43,7,8,5000,0.89577834
4,30,4,20000,0.81105993
4,24,7,5000,0.893452512
44,18,4,5000,0.85074757
10,26,7,30000,0.803338395
25,50,4,30000,0.767327569
3,20,8,10000,0.894200829
9,15,1,30000,0.673810602
35,39,4,30000,0.770749029
42,11,5,10000,0.842231351
24,32,7,5000,0.895770411
50,30,7,20000,0.839660794
35,39,2,5000,0.783418116
26,31,4,20000,0.825289704
17,41,5,30000,0.782006593
12,27,6,20000,0.842686083
31,16,1,30000,0.687131641
31,11,2,20000,0.763942602
29,19,2,10000,0.79594404
33,12,5,30000,0.783554304
49,8,2,20000,0.75527968
40,2,1,30000,0.673139847
50,34,8,5000,0.911507079
11,38,7,20000,0.843751331
38,49,2,10000,0.788084255
25,26,3,5000,0.829913329
35,15,3,5000,0.824364646
49,23,8,30000,0.803816182
31,21,4,30000,0.783574526
26,2,6,10000,0.859120806
26,7,5,20000,0.827208989
28,10,8,20000,0.859322421
48,9,3,5000,0.825440649
45,34,3,5000,0.828991991
3,21,2,10000,0.793075052
41,40,4,30000,0.765790213
18,44,2,20000,0.760526651
34,41,4,10000,0.829794989
44,8,8,5000,0.895822689
31,14,3,5000,0.828591811
23,10,2,20000,0.764650035
29,23,7,30000,0.816058819
3,4,6,30000,0.777149563
6,35,6,20000,0.823219596
2,27,1,5000,0.723346498
18,49,2,30000,0.728632091
11,16,8,10000,0.879298399
44,45,4,5000,0.845754243
27,45,8,20000,0.856538273
6,12,4,30000,0.764899483
30,32,3,5000,0.828993097
6,13,3,20000,0.786503685
13,23,6,30000,0.798772277
14,29,5,20000,0.832622052
35,14,4,30000,0.771881896
31,24,8,10000,0.909443411
35,43,1,10000,0.695102267
8,18,1,20000,0.694926947
16,39,2,30000,0.729889662
30,7,7,10000,0.860892289
47,36,1,5000,0.703431306
3,2,8,5000,0.903653475
17,6,2,20000,0.759681871
38,39,6,10000,0.850238719
27,28,8,20000,0.870467757
38,44,5,20000,0.805937991
39,16,8,5000,0.901683099
2,19,1,5000,0.714518179
4,22,1,10000,0.707839882
6,29,1,20000,0.698448817
6,22,2,20000,0.762751673
25,42,1,20000,0.701070474
5,31,8,20000,0.85476378
2,4,2,20000,0.756341883
34,25,2,30000,0.741669078
22,6,7,30000,0.799460264
9,44,7,30000,0.79019512
46,11,5,20000,0.802838642
20,30,5,20000,0.838626539
10,38,6,5000,0.878278772
27,11,8,20000,0.860415047
17,49,8,5000,0.903452945
7,37,5,10000,0.843307397
15,18,4,5000,0.850033585
43,15,5,20000,0.81710752
5,9,8,10000,0.877326204
4,5,1,10000,0.696496561
37,44,6,30000,0.786272453
5,22,2,30000,0.730229805
13,13,5,10000,0.840287406
18,10,7,20000,0.847571743
43,16,5,10000,0.841601641
26,28,4,10000,0.839581887
5,23,2,20000,0.76286844
10,27,3,20000,0.795003319
17,4,4,10000,0.833768513
4,47,8,5000,0.8950041
3,23,5,30000,0.781785211
11,46,6,30000,0.783195696
44,44,2,20000,0.755936725
49,42,6,5000,0.877109893
23,29,2,20000,0.77752157
7,24,1,10000,0.702765111
9,20,5,10000,0.842659471
9,29,1,5000,0.699348859
33,26,6,30000,0.803069796
18,2,1,20000,0.702159028
44,26,2,30000,0.732563574
37,27,2,10000,0.78638852
47,49,8,10000,0.888806058
1,34,5,30000,0.773182852
32,15,6,10000,0.856972096
28,26,1,30000,0.696742476
2,45,1,30000,0.670974721
17,19,4,5000,0.84928465
9,3,5,10000,0.84243178
2,9,8,10000,0.89297979
50,6,1,30000,0.669067926
47,4,6,10000,0.854184766
47,6,3,5000,0.820081244
3,45,2,30000,0.722296313
21,42,7,20000,0.843688661
36,17,4,30000,0.776814617
31,3,5,20000,0.822956229
18,48,6,10000,0.856831049
19,38,3,5000,0.826905777
15,44,4,30000,0.76715823
49,9,4,10000,0.831547285
21,41,3,10000,0.812412327
43,37,8,20000,0.852503498
41,50,7,20000,0.83398104
20,6,4,10000,0.832861425
27,36,7,30000,0.807356064
17,8,1,20000,0.693506848
14,20,4,30000,0.778215261
14,9,5,10000,0.840917298
30,41,6,5000,0.880313393
35,21,4,5000,0.852518228
30,48,3,10000,0.821082209
26,47,8,30000,0.806816972
8,21,7,5000,0.890386621
43,19,8,30000,0.805210042
36,15,6,5000,0.879078882
42,43,3,30000,0.748499659
2,11,1,30000,0.67324308
5,42,1,20000,0.68892671
45,47,1,10000,0.695541469
22,5,8,20000,0.855371367
1,29,3,10000,0.834598665
12,30,1,30000,0.683001783
43,24,3,20000,0.793793528
12,45,3,5000,0.823772077
35,4,4,5000,0.853794829
30,49,1,30000,0.681046633
18,14,6,10000,0.853802777
25,29,8,30000,0.820801667
32,38,1,30000,0.682684186
4,7,1,10000,0.695253083
42,33,2,30000,0.730877076
34,34,5,30000,0.789577867
9,46,3,10000,0.806368474
34,23,6,10000,0.861775207
18,7,8,10000,0.873168807
15,30,8,10000,0.882948834
41,8,6,5000,0.8754571
7,48,5,5000,0.863843999
34,27,4,5000,0.853916
31,49,2,30000,0.729335056
21,9,1,5000,0.698940412
36,42,7,5000,0.887975169
28,31,7,20000,0.860547912
10,41,1,30000,0.66763579
5,17,1,5000,0.700166702
34,34,1,10000,0.705275048
36,49,4,10000,0.832937953
23,33,1,10000,0.713309112
20,49,2,10000,0.801142969
25,34,4,20000,0.822291665
16,28,3,30000,0.765552716
11,48,6,30000,0.783040223
32,41,5,10000,0.841821322
1,49,5,10000,0.850994433
26,17,3,30000,0.766660117
48,48,1,20000,0.698514183
39,34,6,20000,0.838307819
36,18,8,5000,0.903495943
31,17,5,10000,0.849016191
38,28,7,10000,0.867235864
25,5,8,5000,0.908295994
7,3,4,5000,0.846986076
48,17,7,10000,0.865445505
34,17,1,10000,0.705425558
36,37,3,20000,0.79272457
4,50,3,30000,0.740568243
28,48,4,10000,0.836116088
43,10,5,5000,0.865825279
19,49,2,20000,0.761627487
45,20,4,10000,0.833496668
8,47,7,30000,0.788170956
42,12,7,10000,0.858619457
15,29,5,10000,0.848936549
16,40,1,10000,0.695540449
20,9,3,10000,0.812197107
39,9,6,5000,0.878933884
44,8,3,20000,0.779776777
21,43,5,5000,0.868775858
17,49,6,30000,0.785850477
41,47,7,10000,0.862511033
28,3,2,10000,0.793394619
4,33,3,30000,0.754857053
48,5,7,20000,0.827702032
22,21,5,5000,0.872268798
12,25,4,10000,0.836478126
16,13,8,20000,0.857171845
3,19,3,20000,0.790029377
19,2,1,30000,0.680303158
19,25,4,20000,0.824684524
49,5,2,30000,0.720461851
8,7,8,30000,0.799942774
21,32,2,20000,0.774013288
47,22,3,10000,0.818720261
41,2,5,10000,0.84384757
3,24,1,5000,0.714144597
5,32,5,5000,0.868567379
19,32,7,20000,0.85761209
1,24,6,5000,0.889926177
1,40,7,30000,0.78836353
22,16,1,20000,0.710334219
6,4,4,5000,0.845719746
31,43,7,30000,0.798590801
46,14,3,5000,0.826455348
45,22,7,20000,0.846633997
29,4,1,30000,0.678545418
35,6,4,5000,0.850181546
5,46,7,5000,0.883463223
37,2,8,5000,0.907762042
31,37,8,20000,0.861405293
48,6,1,20000,0.694421094
38,15,4,20000,0.811376488
5,46,5,10000,0.842126955
30,3,7,5000,0.894252468
44,40,7,20000,0.828703378
20,16,5,30000,0.791496148
36,44,6,5000,0.879147341
8,46,1,10000,0.69054863
16,6,8,5000,0.900638242
12,34,5,20000,0.82668615
42,28,1,5000,0.699909034
4,21,2,10000,0.784863587
24,20,8,10000,0.909592342
40,41,2,20000,0.754781992
35,20,4,10000,0.837298374
35,22,1,5000,0.708169175
44,22,7,30000,0.798840686
24,29,2,10000,0.802677799
16,2,1,30000,0.674896923
15,41,8,5000,0.899946334
49,30,7,30000,0.796296977
47,31,4,20000,0.810617888
44,43,8,5000,0.89498893
9,1,7,5000,0.884879358
9,36,8,5000,0.899332003
49,23,6,5000,0.891308623
3,31,8,10000,0.894215253
33,27,7,20000,0.859051874
48,6,2,30000,0.722597179
38,30,7,10000,0.864734809
20,40,1,20000,0.700302706
14,31,4,10000,0.834367388
39,42,1,10000,0.689460972
44,5,7,30000,0.788072154
16,44,5,30000,0.778360942
47,36,7,20000,0.83953014
37,1,5,5000,0.868550566
11,28,6,20000,0.841680336
34,24,5,5000,0.870707038
33,23,5,5000,0.872726809
18,8,7,5000,0.888995787
47,41,7,30000,0.789426871
47,2,6,10000,0.858369295
3,50,1,30000,0.670044105
44,39,4,20000,0.790717498
37,45,6,5000,0.879306788
36,16,4,20000,0.814551695
31,4,2,5000,0.79642764
33,42,3,10000,0.810536194
27,35,6,20000,0.847167864
37,30,7,20000,0.853234405
46,40,3,30000,0.748729558
35,4,2,30000,0.726406075
36,50,1,10000,0.707846726
32,40,7,10000,0.86075329
14,24,3,30000,0.763277033
39,8,5,30000,0.777197496
42,35,8,10000,0.875093215
47,24,7,30000,0.796508718
39,23,7,5000,0.891736329
34,14,2,10000,0.780680339
38,24,2,10000,0.785661222
26,7,4,5000,0.85444446
22,35,1,20000,0.710253543
39,7,1,20000,0.686638318
18,46,4,30000,0.768666044
43,45,8,5000,0.894359883
14,1,4,30000,0.762672035
43,32,1,30000,0.676793288
7,49,3,20000,0.784762512
40,26,4,30000,0.773808534
32,23,7,10000,0.871588099
22,13,1,10000,0.705053524
16,25,8,5000,0.90714723
5,21,6,20000,0.836233167
24,13,3,5000,0.831672238
8,9,4,10000,0.826094684
18,17,6,20000,0.845103801
25,33,7,30000,0.810118843
5,48,7,5000,0.881082597
9,34,6,30000,0.79071867
12,24,8,5000,0.903826389
4,13,8,20000,0.848674597
29,28,2,5000,0.795919771
13,3,8,30000,0.800771582
6,16,8,10000,0.877355794
48,11,8,20000,0.847042378
28,37,5,10000,0.84829228
20,47,4,5000,0.856881594
38,17,4,20000,0.813166764
43,40,4,20000,0.801099639
42,5,8,30000,0.796532909
9,28,7,20000,0.849561057
2,44,5,5000,0.862912159
43,17,2,30000,0.730480608
25,39,3,20000,0.797079113
6,25,8,10000,0.877536061
27,12,1,20000,0.704374752
9,27,3,10000,0.813872845
11,42,6,10000,0.849834345
39,16,2,30000,0.729889917
27,6,2,10000,0.783138345
2,38,6,20000,0.827568033
41,3,2,10000,0.780528629
45,19,8,20000,0.854428848
2,27,5,5000,0.874522854
27,11,7,5000,0.892573532
22,3,5,10000,0.848987515
34,50,2,10000,0.797280849
36,42,2,20000,0.758046526
32,2,1,30000,0.680307567
7,7,3,5000,0.819181907
9,10,3,10000,0.805833534
12,46,5,5000,0.866889204
29,19,7,20000,0.859377258
44,24,3,10000,0.814238182
23,46,1,5000,0.702879449
39,22,5,20000,0.830503615
44,7,7,30000,0.789062752
18,26,7,30000,0.813539708
41,30,7,30000,0.803034861
11,27,7,10000,0.867680769
37,10,4,5000,0.84851824
31,5,4,10000,0.833809563
47,11,4,10000,0.829641421
32,46,2,30000,0.729467462
26,5,3,30000,0.755601024
8,45,5,5000,0.860516365
28,29,6,5000,0.883985375
45,26,1,5000,0.701640978
19,45,1,5000,0.700515616
50,9,6,5000,0.876852655
49,21,2,20000,0.762547411
41,30,3,10000,0.812399151
28,6,2,20000,0.763014499
27,44,5,20000,0.826982777
43,5,1,10000,0.690563771
12,1,1,10000,0.706617929
25,32,1,10000,0.714896242
6,29,5,20000,0.825832899
29,8,2,10000,0.78237949
7,40,1,20000,0.685200482
47,48,7,5000,0.887468561
33,48,1,5000,0.713004659
21,9,3,30000,0.756828661
11,19,1,10000,0.699444597
21,24,5,5000,0.873955576
49,22,8,5000,0.903594552
2,24,8,5000,0.905289322
12,18,2,20000,0.763369397
14,10,2,30000,0.728708888
1,7,4,30000,0.756415731
49,9,1,30000,0.67368961
4,34,7,10000,0.863275388
33,3,1,30000,0.678567438
49,29,5,10000,0.850320882
38,3,2,10000,0.781913985
10,47,4,5000,0.848080148
50,3,3,30000,0.740447689
21,14,6,30000,0.798957915
13,22,8,30000,0.814909112
13,18,8,10000,0.883021218
40,28,4,30000,0.773244476
5,18,6,10000,0.856985462
24,18,4,10000,0.83995047
40,50,5,5000,0.86390276
31,42,7,20000,0.848144999
23,40,3,30000,0.757590677
8,18,2,10000,0.777667725
16,36,1,5000,0.709168231
15,37,6,10000,0.85131841
50,47,4,30000,0.753935456
43,25,3,10000,0.814034715
28,38,5,20000,0.831783814
32,7,7,20000,0.838466737
42,24,4,10000,0.834563023
47,47,4,10000,0.829503916
42,7,7,30000,0.790288569
22,22,7,5000,0.895564203
19,21,6,10000,0.862010218
30,30,6,30000,0.80387298
41,29,1,10000,0.700973212
20,49,4,5000,0.859355505
45,11,5,10000,0.839119874
34,6,8,5000,0.899358206
1,49,7,5000,0.887897028
23,23,3,30000,0.773969604
18,4,5,10000,0.847754045
2,8,3,30000,0.746424239
42,41,5,20000,0.805387145
36,30,8,10000,0.899648252
23,13,6,20000,0.843663422
18,1,4,5000,0.855421268
38,8,3,30000,0.751212259
5,5,2,10000,0.77332649
4,13,1,30000,0.670712782
45,16,8,10000,0.876573806
36,39,2,10000,0.773152349
30,13,6,30000,0.797448939
38,40,5,20000,0.822120634
48,36,4,20000,0.807259091
9,18,2,20000,0.761325197
14,35,5,5000,0.865672664
45,20,6,5000,0.881567076
1,32,7,5000,0.889886991
44,33,1,10000,0.697517279
4,41,1,5000,0.70426109
14,3,1,20000,0.69770532
48,32,2,5000,0.80328281
2,13,4,5000,0.852719424
41,20,8,20000,0.857515145
36,13,8,10000,0.880442775
33,18,4,30000,0.779699161
44,31,7,5000,0.889644584
31,35,8,5000,0.908263256
3,46,2,10000,0.783518511
44,38,4,10000,0.829141571
15,7,2,10000,0.77291866
30,25,3,10000,0.823295091
9,1,2,20000,0.757195125
19,47,1,5000,0.705766777
44,15,2,20000,0.757713511
11,21,4,30000,0.772620751
6,19,8,5000,0.900861712
41,25,6,5000,0.881765427
11,41,8,10000,0.87389943
28,10,1,10000,0.70221649
30,30,3,20000,0.805335009
22,31,6,20000,0.850998438
6,6,1,30000,0.667480581
50,29,1,30000,0.680740978
24,30,6,5000,0.884983626
39,3,6,20000,0.827614378
39,31,8,20000,0.859047513
2,40,7,30000,0.789094469
46,19,8,30000,0.805689589
39,6,3,5000,0.823894872
21,33,3,5000,0.829022612
20,4,1,20000,0.699777125
23,6,4,10000,0.835076515
22,48,7,30000,0.796757815
1,4,4,20000,0.793524324
27,28,5,30000,0.797483028
38,39,3,20000,0.788550784
38,44,2,30000,0.725841372
4,36,7,10000,0.863255099
29,49,1,5000,0.723754261
6,11,2,5000,0.777534542
21,8,7,10000,0.859454053
1,38,1,10000,0.707640551
30,5,3,5000,0.829918323
17,3,7,20000,0.840797163
8,19,2,20000,0.761451529
5,31,5,30000,0.780219577
41,31,4,30000,0.772050028
3,12,2,10000,0.781516217
23,42,3,30000,0.757078359
21,25,8,20000,0.869156448
1,30,5,30000,0.776948693
33,8,4,10000,0.830042145
9,33,6,20000,0.836891221
19,22,6,20000,0.850313711
14,8,7,10000,0.859794465
28,47,4,20000,0.811545125
25,31,6,5000,0.88549924
43,46,3,10000,0.806636118
10,48,7,20000,0.838105917
18,10,4,30000,0.771206343
11,11,4,10000,0.826966394
10,14,6,10000,0.850262565
5,29,7,5000,0.889346501
10,44,5,5000,0.865554185
21,5,1,20000,0.69862356
13,7,3,10000,0.808228493
21,32,1,5000,0.714316406
20,26,7,10000,0.878891723
1,13,5,30000,0.772444766
7,3,8,5000,0.897823982
9,16,6,20000,0.830274696
33,34,5,20000,0.833482391
25,32,1,30000,0.693273302
50,9,4,30000,0.759795436
13,12,8,5000,0.896555815
10,48,1,5000,0.703284099
44,34,1,20000,0.693464879
42,14,8,5000,0.899472502
6,8,3,10000,0.805778804
38,42,5,20000,0.81090937
22,32,1,30000,0.692222921
15,26,2,10000,0.792691646
33,30,3,5000,0.828976863
35,10,3,10000,0.809023408
47,48,5,30000,0.768722531
32,33,3,10000,0.817240386
47,44,5,10000,0.840526208
15,9,6,30000,0.789640171
21,15,1,5000,0.703041019
20,9,7,10000,0.861460412
15,31,7,5000,0.888694142
42,25,3,5000,0.831725972
31,9,3,10000,0.812176678
44,40,6,5000,0.876488055
35,32,8,20000,0.862613027
23,25,6,5000,0.884809134
17,39,7,20000,0.848593969
6,1,6,20000,0.817248982
9,37,3,30000,0.751243132
15,9,2,10000,0.772545758
31,48,2,5000,0.802816528
16,27,5,30000,0.792591641
43,25,3,30000,0.757193831
42,4,5,10000,0.840563196
35,36,4,20000,0.814556404
2,37,7,20000,0.837669616
36,11,1,30000,0.673805086
49,20,8,5000,0.899800502
13,6,1,10000,0.693060572
19,14,7,30000,0.804627358
41,11,3,10000,0.807138064
24,19,8,20000,0.868221764
16,10,5,30000,0.781805881
13,21,7,20000,0.852320603
21,44,8,20000,0.855965704
33,27,4,10000,0.840039781
35,46,4,5000,0.851148212
8,27,1,30000,0.679284776
3,13,2,20000,0.758966698
36,14,5,10000,0.843012726
27,23,4,5000,0.853739319
10,13,2,30000,0.72494191
6,23,6,10000,0.853937512
11,8,8,20000,0.849257452
11,32,1,5000,0.698181704
46,33,5,10000,0.845151713
15,1,3,5000,0.832306045
30,17,7,10000,0.870475255
24,2,8,20000,0.850793561
27,33,8,10000,0.909627673
27,35,5,5000,0.869645164
33,12,1,5000,0.697363517
45,16,4,10000,0.829813791
48,45,7,5000,0.882350376
16,27,2,20000,0.772191093
10,50,7,20000,0.833181678
35,36,1,10000,0.701142123
40,37,4,5000,0.848253278
37,34,2,5000,0.783253422
29,44,5,10000,0.845778094
15,35,4,30000,0.772657536
15,50,6,5000,0.878972294
4,3,7,20000,0.830220733
7,46,5,20000,0.801313066
6,49,7,20000,0.830548389
41,20,4,20000,0.812811562
4,37,6,5000,0.879673326
8,6,8,5000,0.894502534
14,18,3,30000,0.761512286
12,26,3,20000,0.797184231
40,12,8,10000,0.87639145
22,15,3,20000,0.800055354
1,37,6,5000,0.881058589
9,45,6,5000,0.875006147
